id	tokens	jump	accept	stack	return	error
1	int void	2	0	1	0	1
2	int void	5	0	0	0	0
3	eps	4	0	0	0	1
4	eps	0	0	0	1	1
5	int void	12	0	1	0	1
6	main	7	1	0	0	1
7	(	8	1	0	0	1
8	)	9	1	0	0	1
9	{	10	1	0	0	1
10	int var }	16	0	1	0	1
11	}	0	1	0	1	1
12	int	14	0	0	0	0
13	void	15	0	0	0	1
14	int	0	1	0	1	1
15	void	0	1	0	1	1
16	int	19	0	0	0	0
17	var	43	0	0	0	0
18	eps }	94	0	0	0	1
19	int	21	0	1	0	1
20	int var }	16	0	0	0	1
21	int	24	0	1	0	1
22	var	30	0	1	0	1
23	;	0	1	0	1	1
24	int	27	0	0	0	0
25	char	28	0	0	0	0
26	float	29	0	0	0	1
27	int	0	1	0	1	1
28	char	0	1	0	1	1
29	float	0	1	0	1	1
30	var	31	1	0	0	1
31	= , ;	33	0	1	0	1
32	, ;	38	0	0	0	1
33	=	35	0	0	0	0
34	, ;	37	0	0	0	1
35	=	36	1	0	0	1
36	var const ( -	56	0	0	0	1
37	,	0	0	0	1	1
38	,	41	0	0	0	0
39	;	40	0	0	0	1
40	eps	0	0	0	1	1
41	,	42	1	0	0	1
42	var	30	0	0	0	1
43	var	45	0	1	0	1
44	int var }	16	0	0	0	1
45	var	47	0	1	0	1
46	;	0	1	0	1	1
47	var	48	1	0	0	1
48	=	49	1	0	0	1
49	var const ( -	56	0	1	0	1
50	, ;	51	0	0	0	1
51	,	53	0	0	0	0
52	;	55	0	0	0	1
53	,	54	1	0	0	1
54	var	47	0	0	0	1
55	eps	0	0	0	1	1
56	-	58	0	0	0	0
57	const var (	60	0	0	0	1
58	-	59	1	0	0	1
59	const var (	61	0	0	0	1
60	const var (	61	0	0	0	1
61	const var	63	0	0	0	0
62	const var (	69	0	0	0	1
63	const var	65	0	1	0	1
64	+ - * / == != < > , ; )	73	0	0	0	1
65	var	67	0	0	0	0
66	const	68	0	0	0	1
67	var	0	1	0	1	1
68	const	0	1	0	1	1
69	(	70	1	0	0	1
70	var const ( -	56	0	1	0	1
71	)	72	1	0	0	1
72	+ - * / == != < > ; , )	73	0	0	0	1
73	eps ; , )	75	0	0	0	0
74	+ - * / == != < >	76	0	0	0	1
75	eps	0	0	0	1	1
76	+ - * / == != < >	78	0	1	0	1
77	var const ( -	56	0	0	0	1
78	+	86	0	0	0	0
79	-	87	0	0	0	0
80	*	88	0	0	0	0
81	/	89	0	0	0	0
82	==	90	0	0	0	0
83	!=	91	0	0	0	0
84	>	92	0	0	0	0
85	<	93	0	0	0	1
86	+	0	1	0	1	1
87	-	0	1	0	1	1
88	*	0	1	0	1	1
89	/	0	1	0	1	1
90	==	0	1	0	1	1
91	!=	0	1	0	1	1
92	>	0	1	0	1	1
93	<	0	1	0	1	1
94	eps	0	0	0	1	1
95	if	96	0	0	0	0
96	if	97	1	0	0	1
97	(	98	1	0	0	1
98	var const ( -	36	1	1	0	0
99	)	100	1	0	0	1
100	{	10	1	1	0	0
101	eps else	102	0	0	1	0
102	else	104	1	0	0	0
103	eps	109	0	0	0	0
104	else	105	1	0	0	1
105	(	106	1	0	0	1
106	var const ( -	36	1	1	0	0
107	)	108	1	0	0	1
108	{	10	1	1	0	0
109	eps	0	0	0	1	1
